full_moon_date
1/11/2009
2/9/2009
3/11/2009
4/9/2009
5/9/2009
6/7/2009
7/7/2009
8/6/2009
9/4/2009
10/4/2009
11/2/2009
12/2/2009
12/31/2009
1/30/2010
2/28/2010
3/30/2010
4/28/2010
5/28/2010
6/26/2010
7/26/2010
8/24/2010
9/23/2010
10/23/2010
11/21/2010
12/21/2010
1/19/2011
2/18/2011
3/19/2011
4/18/2011
5/17/2011
6/15/2011
7/15/2011
8/13/2011
9/12/2011
10/12/2011
11/10/2011
12/10/2011
1/9/2012
2/7/2012
3/8/2012
4/6/2012
5/6/2012
6/4/2012
7/3/2012
8/2/2012
8/31/2012
9/30/2012
10/29/2012
11/28/2012
12/28/2012
1/27/2013
2/25/2013
3/27/2013
4/25/2013
5/25/2013
6/23/2013
7/22/2013
8/21/2013
9/19/2013
10/19/2013
11/17/2013
12/17/2013
1/16/2014
2/15/2014
3/16/2014
4/15/2014
5/14/2014
6/13/2014
7/12/2014
8/10/2014
9/9/2014
10/8/2014
11/6/2014
12/6/2014
1/5/2015
2/4/2015
3/5/2015
4/4/2015
5/4/2015
6/2/2015
7/2/2015
7/31/2015
8/29/2015
9/28/2015
10/27/2015
11/25/2015
12/25/2015
1/24/2016
2/22/2016
3/23/2016
4/22/2016
5/21/2016
6/20/2016
7/20/2016
8/18/2016
9/16/2016
10/16/2016
11/14/2016
12/14/2016
1/12/2017
2/11/2017
3/12/2017
4/11/2017
5/10/2017
6/9/2017
7/9/2017
8/7/2017
9/6/2017
10/5/2017
11/4/2017
12/3/2017
1/2/2018
1/31/2018
3/2/2018
3/31/2018
4/30/2018
5/29/2018
6/28/2018
7/27/2018
8/26/2018
9/25/2018
10/24/2018
11/23/2018
12/22/2018
1/21/2019
2/19/2019
3/21/2019
4/19/2019
5/18/2019
6/17/2019
7/16/2019
8/15/2019
9/14/2019
10/13/2019
11/12/2019
12/12/2019
1/10/2020
2/9/2020
3/9/2020
4/8/2020
5/7/2020
6/5/2020
7/5/2020
8/3/2020
9/2/2020
10/1/2020
10/31/2020
11/30/2020
12/30/2020
1/28/2021
2/27/2021
3/28/2021
4/27/2021
5/26/2021
6/24/2021
7/24/2021
8/22/2021
9/21/2021
10/20/2021
11/19/2021
12/19/2021
1/18/2022
2/16/2022
3/18/2022
4/16/2022
5/16/2022
6/14/2022
7/13/2022
8/12/2022
9/10/2022
10/9/2022
11/8/2022
12/8/2022
1/7/2023
2/5/2023
3/7/2023
4/6/2023
5/5/2023
6/4/2023
7/3/2023
8/1/2023
8/31/2023
9/29/2023
10/28/2023
11/27/2023
12/27/2023
1/25/2024
2/24/2024
3/25/2024
4/24/2024
5/23/2024
6/22/2024
7/21/2024
8/19/2024
9/18/2024
10/17/2024
11/15/2024
12/15/2024
1/13/2025
2/12/2025
3/14/2025
4/13/2025
5/12/2025
6/11/2025
7/10/2025
8/9/2025
9/7/2025
10/7/2025
11/5/2025
12/5/2025
1/3/2026
2/1/2026
3/3/2026
4/2/2026
5/1/2026
5/31/2026
6/30/2026
7/29/2026
8/28/2026
9/26/2026
10/26/2026
11/24/2026
12/24/2026
1/22/2027
2/21/2027
3/22/2027
4/21/2027
5/20/2027
6/19/2027
7/18/2027
8/17/2027
9/16/2027
10/15/2027
11/14/2027
12/13/2027
1/12/2028
2/10/2028
3/11/2028
4/9/2028
5/8/2028
6/7/2028
7/6/2028
8/5/2028
9/4/2028
10/3/2028
11/2/2028
12/2/2028
12/31/2028
1/30/2029
2/28/2029
3/30/2029
4/28/2029
5/27/2029
6/26/2029
7/25/2029
8/24/2029
9/22/2029
10/22/2029
11/21/2029
12/20/2029
1/19/2030
2/18/2030
3/19/2030
4/18/2030
5/17/2030
6/15/2030
7/15/2030
8/13/2030
9/11/2030
10/11/2030
11/10/2030
12/9/2030
